Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,0,
Sample Interval,4e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.05,
Vertical Position,-0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.0000e-04,-0.00190625,0.00609375
-1.9996e-04,-0.00200781,0.005625
-1.9992e-04,-0.00146875,0.00484375
-1.9988e-04,-0.00214063,0.00046875
-1.9984e-04,-0.00142969,0.00203125
-1.9980e-04,-0.00157031,0.0028125
-1.9976e-04,-0.00150781,-0.009375
-1.9972e-04,-0.00146875,-0.0034375
-1.9968e-04,-0.00103125,-0.003125
-1.9964e-04,-0.00103125,-0.0129687
-1.9960e-04,-0.00107031,-0.0173438
-1.9956e-04,-0.00110938,-0.0165625
-1.9952e-04,-0.00096875,-0.0221875
-1.9948e-04,-0.00096875,-0.0182813
-1.9944e-04,-0.00053125,-0.0245313
-1.9940e-04,-0.000492188,-0.0285937
-1.9936e-04,-0.000773438,-0.0304687
-1.9932e-04,-0.00053125,-0.0234375
-1.9928e-04,-0.000632812,-0.03375
-1.9924e-04,-0.000390625,-0.0357813
-1.9920e-04,-0.000117188,-0.0425
-1.9916e-04,-0.000273438,-0.0384375
-1.9912e-04,0.000304688,-0.0357813
-1.9908e-04,0.000265625,-0.048125
-1.9904e-04,0.00040625,-0.0420313
-1.9900e-04,8.59375e-05,-0.0417187
-1.9896e-04,0.000664062,-0.056875
-1.9892e-04,0.0005625,-0.05125
-1.9888e-04,0.000703125,-0.0448438
-1.9884e-04,0.0010625,-0.054375
-1.9880e-04,0.00040625,-0.0520313
-1.9876e-04,0.00121875,-0.0576562
-1.9872e-04,0.0010625,-0.0571875
-1.9868e-04,0.00107813,-0.06875
-1.9864e-04,0.00102344,-0.065625
-1.9860e-04,0.00135937,-0.0679687
-1.9856e-04,0.00173438,-0.0695313
-1.9852e-04,0.00179688,-0.0715625
-1.9848e-04,0.00165625,-0.0746875
-1.9844e-04,0.00199219,-0.0890625
-1.9840e-04,0.00183594,-0.07875
-1.9836e-04,0.00165625,-0.0826563
-1.9832e-04,0.0019375,-0.0839063
-1.9828e-04,0.00223438,-0.080625
-1.9824e-04,0.00201563,-0.083125
-1.9820e-04,0.00215625,-0.0857813
-1.9816e-04,0.00273437,-0.085
-1.9812e-04,0.00229688,-0.0970312
-1.9808e-04,0.00241406,-0.0946875
-1.9804e-04,0.00292969,-0.100625
-1.9800e-04,0.00207813,-0.0957812
-1.9796e-04,0.00255469,-0.101406
-1.9792e-04,0.00211719,-0.09375
-1.9788e-04,0.00264844,-0.110469
-1.9784e-04,0.00326562,-0.105
-1.9780e-04,0.00291406,-0.110938
-1.9776e-04,0.00326562,-0.104531
-1.9772e-04,0.00360938,-0.112969
-1.9768e-04,0.00428125,-0.126094
-1.9764e-04,0.00442188,-0.137969
-1.9760e-04,0.00424219,-0.138438
-1.9756e-04,0.00464063,-0.142344
-1.9752e-04,0.00428125,-0.143594
-1.9748e-04,0.00422656,-0.134844
